time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1994-01-19T22:52:15.620Z,38.598,-122.8078333,5.879,1.4,md,6,143,0.08288,0.05,nc,nc1211682,2016-12-21T21:43:44.141Z,"Northern California",earthquake,0.6,1.84,0.17,6,reviewed,nc,nc
1994-01-19T22:51:42.000Z,34.353,-118.711,12.006,2.59,mc,0,78.9,,0.258,ci,ci3142417,2016-02-13T03:34:37.335Z,"10km NNE of Simi Valley, California",earthquake,,1.051,,107,reviewed,ci,ci
1994-01-19T22:51:40.610Z,42.2668333,-121.9155,1.364,0.8,md,4,289,0.079,0.11,uw,uw10335103,2016-07-24T00:01:50.650Z,"Oregon",earthquake,0.981,0.74,0.06,2,reviewed,uw,uw
1994-01-19T22:49:28.710Z,42.2843333,-121.9233333,3.474,1,md,4,279,0.06057,0.03,uw,uw10335083,2016-07-24T00:01:50.300Z,"Oregon",earthquake,0.311,0.47,0.06,2,reviewed,uw,uw
1994-01-19T22:49:17.300Z,34.374,-118.636,13.622,2.39,mc,0,110.7,,0.194,ci,ci3142415,2016-02-13T06:01:46.457Z,"11km SSW of Valencia, California",earthquake,,0.503,,39,reviewed,ci,ci
1994-01-19T22:47:52.050Z,34.314,-118.465,6.501,1.68,mc,0,74.2,,0.332,ci,ci3167829,2016-02-13T03:34:36.024Z,"4km NW of Pacoima, California",earthquake,,2.755,,12,reviewed,ci,ci
1994-01-19T22:47:15.820Z,34.28,-118.456,8.659,2.01,mc,0,78.4,,0.215,ci,ci3142413,2016-02-12T19:59:24.772Z,"2km W of San Fernando, California",earthquake,,1.893,,58,reviewed,ci,ci
1994-01-19T22:46:56.900Z,42.2923333,-121.9418333,3.357,1.4,md,5,192,,0.07,uw,uw10335063,2016-07-24T00:01:49.850Z,"Oregon",earthquake,0.369,0.73,0.06,2,reviewed,uw,uw
1994-01-19T22:45:14.440Z,34.359,-118.704,2.201,2.36,mc,0,77.6,,0.327,ci,ci3167825,2016-02-12T22:28:52.902Z,"10km NNE of Simi Valley, California",earthquake,,0.724,,22,reviewed,ci,ci
1994-01-19T22:44:50.430Z,34.334,-118.465,4.294,2.44,mc,0,35.5,,0.278,ci,ci3142410,2016-02-12T09:36:58.861Z,"6km NNW of Pacoima, California",earthquake,,0.204,,69,reviewed,ci,ci
1994-01-19T22:44:48.150Z,42.2871667,-121.9398333,1.757,1.1,md,6,193,,0.13,uw,uw10335028,2016-07-24T00:01:49.540Z,"Oregon",earthquake,0.648,0.69,0.08,2,reviewed,uw,uw
1994-01-19T22:44:03.600Z,34.368,-118.621,13.687,2.2,mh,0,80,,0.271,ci,ci3142432,2016-02-12T22:28:51.399Z,"11km SSW of Valencia, California",earthquake,,1.767,,0,reviewed,ci,ci
1994-01-19T22:41:12.330Z,42.3003333,-121.9368333,2.277,1.9,md,11,172,,0.22,uw,uw10334973,2016-07-24T00:01:49.060Z,"Oregon",earthquake,0.844,0.82,0.05,3,reviewed,uw,uw
1994-01-19T22:40:52.100Z,35.032,-117.676,-0.78,1.52,mc,0,135.4,0.08972,0.149,ci,ci3142408,2016-02-11T23:47:55.124Z,"4km NNW of Boron, California",quarry blast,,,,19,reviewed,ci,ci
1994-01-19T22:40:00.050Z,42.2848333,-121.9076667,3.117,1.9,md,5,221,0.06484,0.07,uw,uw10334948,2016-07-24T00:01:48.690Z,"Oregon",earthquake,0.028,0.07,0.06,3,reviewed,uw,uw
1994-01-19T22:37:27.740Z,42.2966667,-121.9668333,-1.626,0.9,md,4,232,0.04666,0.12,uw,uw10334918,2016-07-24T00:01:48.380Z,"Oregon",earthquake,0.175,0.13,0.06,2,reviewed,uw,uw
1994-01-19T22:36:27.420Z,42.2916667,-121.9321667,1.817,1.6,md,5,202,0.05165,0.06,uw,uw10334893,2016-07-24T00:01:48.060Z,"Oregon",earthquake,0.355,0.34,0.06,2,reviewed,uw,uw
1994-01-19T22:35:18.310Z,42.279,-121.9135,5.377,1,md,5,214,,0.11,uw,uw10334828,2016-07-24T00:01:47.810Z,"Oregon",earthquake,0.544,0.91,0.04,1,reviewed,uw,uw
1994-01-19T22:34:52.490Z,42.2925,-121.932,0.704,0.7,md,4,270,0.05087,0.12,uw,uw10334803,2016-07-24T00:01:47.470Z,"Oregon",earthquake,0.915,1.23,0.06,2,reviewed,uw,uw
1994-01-19T22:33:26.380Z,42.2806667,-121.9268333,1.697,0.9,md,6,204,0.06329,0.14,uw,uw10334773,2016-07-24T00:01:47.160Z,"Oregon",earthquake,0.526,0.72,0.06,2,reviewed,uw,uw
1994-01-19T22:31:02.760Z,34.345,-118.731,3.048,2.46,mc,0,100.4,,0.3,ci,ci3142405,2016-02-12T22:28:50.186Z,"8km N of Simi Valley, California",earthquake,,0.566,,39,reviewed,ci,ci
1994-01-19T22:29:05.140Z,42.2725,-121.935,0.077,1.7,md,5,196,,0.08,uw,uw10334603,2016-07-24T00:01:46.910Z,"Oregon",earthquake,0.014,0.08,0.04,1,reviewed,uw,uw
1994-01-19T22:28:48.130Z,42.2871667,-121.9308333,-1.113,1.9,md,5,202,0.05625,0.09,uw,uw10334528,2016-07-24T00:01:46.640Z,"Oregon",earthquake,0.6,0.68,0.05,1,reviewed,uw,uw
1994-01-19T22:27:31.230Z,42.2861667,-121.9476667,-0.723,4.3,md,13,159,,0.12,uw,uw10334318,2016-07-24T00:01:45.910Z,"Oregon",earthquake,0.38,0.52,0.05,3,reviewed,uw,uw
1994-01-19T22:25:57.190Z,38.8075,-122.77,1.603,1.38,md,10,60,0.01892,0.01,nc,nc1211681,2016-12-21T21:43:36.186Z,"Northern California",earthquake,0.24,0.52,0.14,9,reviewed,nc,nc
1994-01-19T22:25:20.790Z,34.356,-118.705,12.857,2.29,mc,0,77.9,,0.242,ci,ci3167839,2016-02-12T12:08:11.982Z,"10km NNE of Simi Valley, California",earthquake,,1.541,,44,reviewed,ci,ci
1994-01-19T22:25:19.000Z,39.4495,-111.1963333,3.63,1.71,md,8,84,0.2954,0.47,uu,uu50080265,2018-08-28T05:05:57.930Z,"Utah",earthquake,1.45,26.59,,5,reviewed,uu,uu
1994-01-19T22:24:22.120Z,34.351,-118.695,13.248,2.65,mc,0,77,,0.295,ci,ci3142402,2016-02-12T02:20:01.876Z,"10km NNE of Simi Valley, California",earthquake,,0.531,,81,reviewed,ci,ci
1994-01-19T22:23:37.380Z,34.361,-118.653,11.333,2.35,mc,0,92.5,,0.242,ci,ci3142395,2016-02-12T12:08:10.642Z,"12km NNW of Chatsworth, California",earthquake,,0.799,,35,reviewed,ci,ci
1994-01-19T22:17:52.450Z,34.303,-118.496,9.299,1.94,mc,0,76.7,,0.224,ci,ci3167738,2016-02-12T17:23:48.754Z,"4km N of Granada Hills, California",earthquake,,1.133,,7,reviewed,ci,ci
1994-01-19T22:17:08.460Z,34.357,-118.677,13.045,2.58,mc,0,89.3,,0.234,ci,ci3142388,2016-02-12T22:28:48.928Z,"11km NNE of Simi Valley, California",earthquake,,0.836,,28,reviewed,ci,ci
1994-01-19T22:06:36.520Z,34.379,-118.611,10.762,2.56,ml,0,65.6,,0.235,ci,ci3142386,2016-02-12T14:49:08.756Z,"9km SSW of Valencia, California",earthquake,,1.051,,4,reviewed,ci,ci
1994-01-19T21:54:03.890Z,34.266,-118.62,7.163,1.99,mc,0,140.4,,0.149,ci,ci3142383,2016-02-12T22:28:47.681Z,"2km NW of Chatsworth, California",earthquake,,2.475,,4,reviewed,ci,ci
1994-01-19T21:46:24.640Z,34.36,-118.705,10.882,2.81,ml,0,77.7,0.0989,0.267,ci,ci3142380,2016-02-13T08:36:18.481Z,"10km SE of Piru, California",earthquake,,0.879,,10,reviewed,ci,ci
1994-01-19T21:43:24.690Z,35.8525,-120.9478333,5.551,1.95,md,8,103,0.07928,0.03,nc,nc1211680,2016-12-21T21:43:28.399Z,"Central California",earthquake,0.6,1.37,0.1,5,reviewed,nc,nc
1994-01-19T21:42:03.840Z,34.295,-118.486,8.159,3.41,ml,0,92.3,,0.229,ci,ci3142379,2016-02-12T22:28:46.415Z,"3km NNE of Granada Hills, California",earthquake,,0.588,,43,reviewed,ci,ci
1994-01-19T21:37:40.480Z,34.348,-118.713,11.352,2.74,ml,0,87.5,,0.201,ci,ci3142376,2016-02-12T22:28:44.903Z,"9km NNE of Simi Valley, California",earthquake,,0.743,,6,reviewed,ci,ci
1994-01-19T21:34:40.030Z,34.347,-118.713,5.42,3.44,ml,0,79.7,,0.278,ci,ci3142372,2016-02-12T07:10:47.763Z,"9km NNE of Simi Valley, California",earthquake,,,,45,reviewed,ci,ci
1994-01-19T21:34:21.910Z,34.363,-118.643,12.933,3.31,mc,0,69.9,,0.262,ci,ci3167734,2016-02-12T12:08:09.363Z,"12km SSW of Valencia, California",earthquake,,0.476,,160,reviewed,ci,ci
1994-01-19T21:28:34.100Z,34.371,-118.645,9.794,2.7,mc,0,44.4,0.07206,0.268,ci,ci3186873,2016-02-13T06:01:45.129Z,"12km SW of Valencia, California",earthquake,,1.46,,29,reviewed,ci,ci
1994-01-19T21:27:51.320Z,34.364,-118.724,10.102,2.98,ml,0,79.8,,0.267,ci,ci3142370,2016-02-13T06:01:43.793Z,"9km SE of Piru, California",earthquake,,1.075,,8,reviewed,ci,ci
1994-01-19T21:26:14.980Z,34.357,-118.708,12.246,2.66,ml,0,78.2,,0.302,ci,ci3142364,2016-02-12T17:23:47.482Z,"10km NNE of Simi Valley, California",earthquake,,0.828,,8,reviewed,ci,ci
1994-01-19T21:22:02.160Z,34.346,-118.714,17.502,2.74,mc,0,79.9,0.09907,0.274,ci,ci3142363,2016-02-13T06:01:42.346Z,"9km NNE of Simi Valley, California",earthquake,,2.387,,24,reviewed,ci,ci
1994-01-19T21:21:48.920Z,34.346,-118.673,14.437,2,mh,0,94,,0.27,ci,ci3167616,2016-02-13T06:01:41.013Z,"10km NE of Simi Valley, California",earthquake,,1.784,,0,reviewed,ci,ci
1994-01-19T21:20:47.780Z,34.361,-118.824,20.158,2,mh,0,210.1,0.2251,0.251,ci,ci2178694,2016-02-12T22:28:43.409Z,"7km SSW of Piru, California",earthquake,,7.635,,0,reviewed,ci,ci
1994-01-19T21:20:33.920Z,34.37,-118.662,10.005,2,mh,0,116.7,,0.22,ci,ci2178692,2016-02-13T08:36:17.067Z,"13km SW of Valencia, California",earthquake,,2.904,,0,reviewed,ci,ci
1994-01-19T21:20:09.470Z,34.384,-118.686,13.222,2.41,mc,0,100.5,,0.27,ci,ci2178690,2016-02-12T09:36:57.573Z,"10km ESE of Piru, California",earthquake,,0.539,,48,reviewed,ci,ci
1994-01-19T21:19:39.810Z,34.398,-118.625,8.467,2.47,mc,0,126,,0.419,ci,ci3167610,2016-02-11T18:28:06.406Z,"8km SW of Valencia, California",earthquake,,2.979,,60,reviewed,ci,ci
1994-01-19T21:18:45.830Z,34.375,-118.637,12.535,2.6,mh,0,68.6,0.07285,0.285,ci,ci3167605,2016-02-12T22:28:42.163Z,"11km SW of Valencia, California",earthquake,,1.143,,0,reviewed,ci,ci
1994-01-19T21:17:59.230Z,34.356,-118.706,11.762,3.05,ml,0,78,0.09756,0.252,ci,ci3142362,2016-02-12T19:59:23.436Z,"10km NNE of Simi Valley, California",earthquake,,1.1,,21,reviewed,ci,ci
1994-01-19T21:16:56.770Z,34.32,-118.701,0.898,2.35,mc,0,79.7,,0.289,ci,ci3175948,2016-02-13T08:36:15.604Z,"6km NNE of Simi Valley, California",earthquake,,1.257,,6,reviewed,ci,ci
1994-01-19T21:16:34.670Z,34.337,-118.726,13.723,2.39,mc,0,82.2,,0.29,ci,ci3142360,2016-02-12T19:59:22.017Z,"7km N of Simi Valley, California",earthquake,,0.705,,36,reviewed,ci,ci
1994-01-19T21:15:34.010Z,34.348,-118.719,-0.435,2.3,mh,0,128.6,,0.232,ci,ci3168357,2016-02-13T08:36:14.360Z,"9km NNE of Simi Valley, California",earthquake,,1.4,,0,reviewed,ci,ci
1994-01-19T21:15:03.260Z,34.358,-118.685,5.302,2.2,mh,0,75.3,,0.301,ci,ci3142600,2016-02-11T18:28:05.011Z,"11km NNE of Simi Valley, California",earthquake,,,,0,reviewed,ci,ci
1994-01-19T21:14:14.680Z,34.328,-118.745,25.576,1.6,mh,0,85.9,0.1187,0.275,ci,ci3168378,2016-02-13T08:36:13.022Z,"6km N of Simi Valley, California",earthquake,,5.312,,0,reviewed,ci,ci
1994-01-19T21:13:57.230Z,34.322,-118.75,19.886,2,mh,0,87.1,0.122,0.295,ci,ci3142599,2016-02-13T03:34:34.807Z,"6km N of Simi Valley, California",earthquake,,2.724,,0,reviewed,ci,ci
1994-01-19T21:11:44.900Z,34.378,-118.619,10.83,5.07,ml,0,43.5,,0.352,ci,ci3142597,2016-02-12T12:08:07.288Z,"10km SSW of Valencia, California",earthquake,,0.524,,18,reviewed,ci,ci
1994-01-19T21:09:28.610Z,34.379,-118.712,13.797,5.06,ml,0,41.5,,0.539,ci,ci3142595,2016-02-13T08:36:11.800Z,"8km ESE of Piru, California",earthquake,,0.188,,51,reviewed,ci,ci
1994-01-19T21:09:28.310Z,34.373,-118.713,13.428,2.03,md,0,167.9,,0.559,ci,ci3142359,2016-11-09T21:42:20.993Z,"9km ESE of Piru, California",earthquake,,2.654,,6,reviewed,ci,ci
1994-01-19T21:08:29.470Z,34.369,-118.645,12.654,2.39,mc,0,113.6,0.07031,0.171,ci,ci3142594,2016-02-12T07:10:46.299Z,"12km SW of Valencia, California",earthquake,,1.033,,96,reviewed,ci,ci
1994-01-19T21:04:23.680Z,34.348,-118.644,14.609,2.76,ml,0,77.3,,0.42,ci,ci3186871,2016-02-13T06:01:39.772Z,"11km NNW of Chatsworth, California",earthquake,,2.645,,15,reviewed,ci,ci
1994-01-19T21:04:14.910Z,34.372,-118.626,12.298,2.5,mh,0,67.6,,0.246,ci,ci3142358,2016-02-13T08:36:10.272Z,"10km SSW of Valencia, California",earthquake,,0.636,,0,reviewed,ci,ci
1994-01-19T20:56:42.250Z,37.6371667,-118.8655,3.787,0.77,md,4,211,0.02342,0.01,nc,nc1211679,2016-12-21T21:43:20.200Z,"Long Valley area, California",earthquake,3.52,6.06,0.25,3,reviewed,nc,nc
1994-01-19T20:53:46.140Z,34.359,-118.536,4.172,2.09,mc,0,72.2,,0.233,ci,ci3142357,2016-02-12T02:20:00.378Z,"7km SSW of Santa Clarita, California",earthquake,,0.403,,23,reviewed,ci,ci
1994-01-19T20:49:13.170Z,34.237,-118.584,1.683,2.04,mc,0,103.1,,0.151,ci,ci3142356,2016-02-12T22:28:40.870Z,"3km SE of Chatsworth, California",earthquake,,0.41,,24,reviewed,ci,ci
1994-01-19T20:48:38.540Z,34.402,-118.623,14.093,1.77,mc,0,126.7,,0.18,ci,ci3167602,2016-02-12T02:19:59.072Z,"8km SW of Valencia, California",earthquake,,5.428,,24,reviewed,ci,ci
1994-01-19T20:48:00.810Z,34.299,-118.47,7.927,1.93,mc,0,134.1,,0.2,ci,ci3167601,2016-02-11T23:47:53.834Z,"3km WNW of Pacoima, California",earthquake,,2.042,,21,reviewed,ci,ci
1994-01-19T20:47:26.280Z,34.186,-118.636,1.02,2.33,mc,0,107,,0.172,ci,ci3142351,2016-02-12T17:23:46.118Z,"2km SSE of West Hills, California",earthquake,,0.752,,79,reviewed,ci,ci
1994-01-19T20:45:43.820Z,34.249,-118.482,10.573,2.38,ml,0,56,,0.291,ci,ci3142345,2016-02-13T08:36:09.056Z,"3km SE of Granada Hills, California",earthquake,,0.704,,15,reviewed,ci,ci
1994-01-19T20:45:21.070Z,34.382,-118.524,2.212,2.25,mc,0,67.5,,0.26,ci,ci3167492,2016-02-12T19:59:20.287Z,"4km SSW of Santa Clarita, California",earthquake,,0.899,,84,reviewed,ci,ci
1994-01-19T20:40:40.340Z,34.386,-118.582,10.562,2.23,ml,0,62.5,,0.237,ci,ci3142340,2016-02-12T17:23:44.854Z,"8km S of Valencia, California",earthquake,,0.795,,10,reviewed,ci,ci
1994-01-19T20:38:28.090Z,40.3896667,-111.2305,4.7,0.54,md,7,298,0.02991,0.07,uu,uu50080260,2018-08-28T05:05:57.300Z,"Utah",earthquake,5.35,3.15,,4,reviewed,uu,uu
